id,Biosample.Summary,Biosample,GROUP,SECONDARY,COLOR,category,infoline,age,sex,type,origin,perturb,lifestage,Project2,Mark,Status,Life.Stage,Age,Age.Units,Sex,Treatment,Duration,Duration.Units,Multi.donor.,Donor.IDs,collated.DONORS,Accession,Assay,Target,Project,Lab,Month.Submitted,Replication.Type,Biosample.IDS,Link
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K4me3,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR564VIX,ChIP-seq,H3K4me3,ENCODE,/labs/bradley-bernstein/,"November, 2016",isogenic,"ENCBS688JZQ,ENCBS439IWV",/experiments/ENCSR564VIX/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K4me1,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000AQY,ChIP-seq,H3K4me1,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS282AAA,ENCBS688JZQ",/experiments/ENCSR000AQY/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K9ac,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000ARY,ChIP-seq,H3K9ac,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS282AAA,ENCBS688JZQ",/experiments/ENCSR000ARY/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K36me3,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000AQX,ChIP-seq,H3K36me3,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS688JZQ,ENCBS282AAA",/experiments/ENCSR000AQX/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K27ac,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000AQW,ChIP-seq,H3K27ac,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS282AAA,ENCBS688JZQ",/experiments/ENCSR000AQW/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K4me2,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000AQZ,ChIP-seq,H3K4me2,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS688JZQ,ENCBS282AAA",/experiments/ENCSR000AQZ/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K27me3,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000ASX,ChIP-seq,H3K27me3,ENCODE,/labs/bradley-bernstein/,"August, 2012",isogenic,"ENCBS688JZQ,ENCBS282AAA",/experiments/ENCSR000ASX/
BSS00267,DND-41,DND-41,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,13,male,cell line,,,child,ENCODE 2012,H3K9me3,released,child,13,year,male,,NA,,No,ENCDO183AAA,ENCDO183AAA,ENCSR000ARZ,ChIP-seq,H3K9me3,ENCODE,/labs/bradley-bernstein/,"March, 2012",isogenic,"ENCBS282AAA,ENCBS688JZQ",/experiments/ENCSR000ARZ/
BSS01105,KOPT-K1,KOPT-K1,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,unknown,unknown/mixed,cell line,,,unknown/mixed,ENCODE,H3K36me3,released,unknown,unknown,,unknown,,NA,,No,ENCDO568LPD,ENCDO568LPD,ENCSR879WTY,ChIP-seq,H3K36me3,ENCODE,/labs/bradley-bernstein/,"January, 2017",isogenic,"ENCBS869LIS,ENCBS345YKN",/experiments/ENCSR879WTY/
BSS01105,KOPT-K1,KOPT-K1,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,unknown,unknown/mixed,cell line,,,unknown/mixed,ENCODE,H3K4me1,released,unknown,unknown,,unknown,,NA,,No,ENCDO568LPD,ENCDO568LPD,ENCSR630IBN,ChIP-seq,H3K4me1,ENCODE,/labs/bradley-bernstein/,"March, 2018",isogenic,"ENCBS869LIS,ENCBS345YKN",/experiments/ENCSR630IBN/
BSS01105,KOPT-K1,KOPT-K1,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,unknown,unknown/mixed,cell line,,,unknown/mixed,ENCODE,H3K27ac,released,unknown,unknown,,unknown,,NA,,No,ENCDO568LPD,ENCDO568LPD,ENCSR719FEJ,ChIP-seq,H3K27ac,ENCODE,/labs/bradley-bernstein/,"November, 2016",isogenic,"ENCBS869LIS,ENCBS345YKN",/experiments/ENCSR719FEJ/
BSS01105,KOPT-K1,KOPT-K1,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,unknown,unknown/mixed,cell line,,,unknown/mixed,ENCODE,H3K9me3,released,unknown,unknown,,unknown,,NA,,No,ENCDO568LPD,ENCDO568LPD,ENCSR438PYA,ChIP-seq,H3K9me3,ENCODE,/labs/bradley-bernstein/,"January, 2017",isogenic,"ENCBS869LIS,ENCBS345YKN",/experiments/ENCSR438PYA/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H2AFZ,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR900HAP,ChIP-seq,H2AFZ,ENCODE,/labs/bradley-bernstein/,"October, 2016",isogenic,"ENCBS080PZG,ENCBS708EFA",/experiments/ENCSR900HAP/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H4K20me1,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR760ZVL,ChIP-seq,H4K20me1,ENCODE,/labs/bradley-bernstein/,"September, 2014",isogenic,"ENCBS080PZG,ENCBS708EFA",/experiments/ENCSR760ZVL/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K4me1,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR036KFJ,ChIP-seq,H3K4me1,ENCODE,/labs/bradley-bernstein/,"September, 2014",isogenic,"ENCBS708EFA,ENCBS080PZG",/experiments/ENCSR036KFJ/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K79me2,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR429QYS,ChIP-seq,H3K79me2,ENCODE,/labs/bradley-bernstein/,"September, 2014",isogenic,"ENCBS170DPY,ENCBS080PZG",/experiments/ENCSR429QYS/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K36me3,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR837SUQ,ChIP-seq,H3K36me3,ENCODE,/labs/bradley-bernstein/,"May, 2016",isogenic,"ENCBS080PZG,ENCBS170DPY",/experiments/ENCSR837SUQ/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K9me3,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR884QDT,ChIP-seq,H3K9me3,ENCODE,/labs/bradley-bernstein/,"September, 2014",isogenic,"ENCBS170DPY,ENCBS080PZG",/experiments/ENCSR884QDT/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3F3A,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR267UCE,ChIP-seq,H3F3A,ENCODE,/labs/bradley-bernstein/,"November, 2016",isogenic,"ENCBS708EFA,ENCBS170DPY",/experiments/ENCSR267UCE/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K4me3,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR657RRI,ChIP-seq,H3K4me3,ENCODE,/labs/bradley-bernstein/,"September, 2014",isogenic,"ENCBS708EFA,ENCBS080PZG",/experiments/ENCSR657RRI/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K27me3,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR183CQK,ChIP-seq,H3K27me3,ENCODE,/labs/bradley-bernstein/,"September, 2014",isogenic,"ENCBS170DPY,ENCBS080PZG",/experiments/ENCSR183CQK/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K9ac,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR543IKB,ChIP-seq,H3K9ac,ENCODE,/labs/bradley-bernstein/,"September, 2014",isogenic,"ENCBS708EFA,ENCBS080PZG",/experiments/ENCSR543IKB/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K9me2,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR186EAD,ChIP-seq,H3K9me2,ENCODE,/labs/bradley-bernstein/,"November, 2016",isogenic,"ENCBS170DPY,ENCBS708EFA",/experiments/ENCSR186EAD/
BSS01178,Loucy,Loucy,Cancer,Blood & T-cell,#000000,Other,ACUTE LYMPHOBLASTIC LEUKEMIA,38,female,cell line,,,adult,ENCODE,H3K4me2,released,adult,38,year,female,,NA,,No,ENCDO732PDS,ENCDO732PDS,ENCSR165LOF,ChIP-seq,H3K4me2,ENCODE,/labs/bradley-bernstein/,"September, 2014",isogenic,"ENCBS708EFA,ENCBS080PZG",/experiments/ENCSR165LOF/
BSS00704,HS-27A,HS-27A,Epithelial,Bone,#FF9D0C,Primary Cell,BONE MARROW EPITHELIAL CELL,unknown,male,cell line,,,adult,ENCODE,DNase-seq,released,adult,unknown,,male,,NA,,No,ENCDO000AAT,ENCDO000AAT,ENCSR000EMF,DNase-seq,,ENCODE,/labs/john-stamatoyannopoulos/,"July, 2012",unreplicated,ENCBS009ENC,/experiments/ENCSR000EMF/
BSS01267,MG63,MG63,Cancer,Bone,#000000,Other,OSTEOSARCOMA,14,male,cell line,,,child,ENCODE,DNase-seq,released,child,14,year,male,,NA,,No,ENCDO987OSE,ENCDO987OSE,ENCSR083STA,DNase-seq,,ENCODE,/labs/john-stamatoyannopoulos/,"August, 2015",isogenic,"ENCBS091SUW,ENCBS462PMF",/experiments/ENCSR083STA/
BSS01550,SJSA1,SJSA1,Cancer,Bone,#000000,Other,OSTEOSARCOMA,19,male,cell line,,,adult,ENCODE,DNase-seq,released,adult,19,year,male,,NA,,No,ENCDO197NLG,ENCDO197NLG,ENCSR620WAR,DNase-seq,,ENCODE,/labs/john-stamatoyannopoulos/,"August, 2015",isogenic,"ENCBS489PLT,ENCBS327EZG",/experiments/ENCSR620WAR/
BSS01661,stromal cell of bone marrow male,stromal cell of bone marrow,Stromal,Bone,#FF720C,Primary Cell,BONE MARROW STROMAL CELL,unknown,male,primary cell,,,unknown/mixed,ENCODE,DNase-seq,released,unknown,unknown,,male,,NA,,No,ENCDO000AAV,ENCDO000AAV,ENCSR000EMH,DNase-seq,,ENCODE,/labs/john-stamatoyannopoulos/,"July, 2012",isogenic,"ENCBS011ENC,ENCBS790XUP",/experiments/ENCSR000EMH/
BSS00004,A172,A172,Cancer,Brain,#000000,Other,GLIOBLASTOMA,53,male,cell line,,,adult,ENCODE,DNase-seq,released,adult,53,year,male,,NA,,No,ENCDO934VEN,ENCDO934VEN,ENCSR932KWJ,DNase-seq,,ENCODE,/labs/john-stamatoyannopoulos/,"August, 2015",isogenic,"ENCBS225AJI,ENCBS874LTK",/experiments/ENCSR932KWJ/
BSS00102,BE2C,BE2C,Cancer,Brain,#000000,Other,NEUROBLASTOMA,2,male,cell line,,,child,ENCODE,DNase-seq,released,child,2,year,male,,NA,,No,ENCDO000ACQ,ENCDO000ACQ,ENCSR000EMD,DNase-seq,,ENCODE,/labs/john-stamatoyannopoulos/,"May, 2011",isogenic,"ENCBS403ENC,ENCBS982TUR",/experiments/ENCSR000EMD/
BSS00102,BE2C,BE2C,Cancer,Brain,#000000,Other,NEUROBLASTOMA,2,male,cell line,,,child,ENCODE,H3K4me3,released,child,2,year,male,,NA,,No,ENCDO000ACQ,ENCDO000ACQ,ENCSR000DQB,ChIP-seq,H3K4me3,ENCODE,/labs/john-stamatoyannopoulos/,"November, 2011",isogenic,"ENCBS271SFD,ENCBS982TUR",/experiments/ENCSR000DQB/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K36me3,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR375IXS,ChIP-seq,H3K36me3,ENCODE,/labs/bradley-bernstein/,"May, 2016",isogenic,"ENCBS369AAA,ENCBS374AAA",/experiments/ENCSR375IXS/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K79me2,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR484PTR,ChIP-seq,H3K79me2,ENCODE,/labs/bradley-bernstein/,"October, 2016",isogenic,"ENCBS374AAA,ENCBS369AAA",/experiments/ENCSR484PTR/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,DNase-seq,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR626RVD,DNase-seq,,ENCODE,/labs/john-stamatoyannopoulos/,"May, 2016",isogenic,"ENCBS374AAA,ENCBS369AAA",/experiments/ENCSR626RVD/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K4me3,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR849YFO,ChIP-seq,H3K4me3,ENCODE,/labs/bradley-bernstein/,"May, 2016",isogenic,"ENCBS369AAA,ENCBS374AAA",/experiments/ENCSR849YFO/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K9ac,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR592ETL,ChIP-seq,H3K9ac,ENCODE,/labs/bradley-bernstein/,"January, 2017",unreplicated,ENCBS374AAA,/experiments/ENCSR592ETL/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H4K20me1,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR821GUG,ChIP-seq,H4K20me1,ENCODE,/labs/bradley-bernstein/,"October, 2016",isogenic,"ENCBS369AAA,ENCBS374AAA",/experiments/ENCSR821GUG/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K4me2,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR821IAK,ChIP-seq,H3K4me2,ENCODE,/labs/bradley-bernstein/,"October, 2016",isogenic,"ENCBS374AAA,ENCBS369AAA",/experiments/ENCSR821IAK/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K27me3,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR472SEY,ChIP-seq,H3K27me3,ENCODE,/labs/bradley-bernstein/,"May, 2016",isogenic,"ENCBS374AAA,ENCBS369AAA",/experiments/ENCSR472SEY/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3F3A,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR683ORH,ChIP-seq,H3F3A,ENCODE,/labs/bradley-bernstein/,"October, 2016",isogenic,"ENCBS369AAA,ENCBS374AAA",/experiments/ENCSR683ORH/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K9me2,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR175OYG,ChIP-seq,H3K9me2,ENCODE,/labs/bradley-bernstein/,"January, 2017",isogenic,"ENCBS374AAA,ENCBS369AAA",/experiments/ENCSR175OYG/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K27ac,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR905TYC,ChIP-seq,H3K27ac,ENCODE,/labs/bradley-bernstein/,"May, 2016",isogenic,"ENCBS374AAA,ENCBS369AAA",/experiments/ENCSR905TYC/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H3K9me3,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR247PYK,ChIP-seq,H3K9me3,ENCODE,/labs/bradley-bernstein/,"May, 2016",isogenic,"ENCBS374AAA,ENCBS369AAA",/experiments/ENCSR247PYK/
BSS00112,bipolar neuron originated from GM23338 treated with 0.5 ?g/mL doxycycline hyclate for 4 days,bipolar neuron,ES-deriv,Brain,#4178AE,Stem-like,BIPOLAR NEURON DERIV,53,male,in vitro differentiated cells,bipolar_neuron_originated_from_GM23338,0.5_mg_mL_doxycycline_hyclate_for_4_days,adult,ENCODE,H2AFZ,released,adult,53,year,male,doxycycline hyclate,4,day,No,ENCDO336AAA,ENCDO336AAA,ENCSR983CSB,ChIP-seq,H2AFZ,ENCODE,/labs/bradley-bernstein/,"November, 2016",isogenic,"ENCBS369AAA,ENCBS374AAA",/experiments/ENCSR983CSB/
